Artist
Apink
LE SSERAFIM
aespa
IVE
LeeHi
JEON SOMI
BOL4
DeVita
NCT DREAM
Red Velvet
Various Artists
Stray Kids
EXO
BTS
BAEKHYUN
TWICE
Lee Mujin
GOT7
THE BOYZ
Girls' Generation-TTS
Billlie
TAEYEON
george
SUPER JUNIOR
ATBO
BTOB
MEENOI
Sarah Kang
HWASA
MONSTA X
ASTRO
Jay JungJae Moon
BoA
JAMIE
10cm
Dept
SOLE
AILEE
Moon Byul
Weeekly
DAVICHI
B1A4
WEi
Sweden Laundry
LOONA
Jyp Nation
Stella Jang
TRI.BE
Yiruma
LUNCH
XODIAC
John Park
Jessica
Baek A Yeon
GSoul
Llwyd
Xydo
Basick
Jung Seung Hwan
DAHEE
LeeBoram (seeya)
OoOo
대니 구(Danny Koo)
B.I.G
OVAN
Grass
SBGB
Han Yo Han
FNC ARTIST
KANGTA
Mariah Carey
Brenda Lee
Wham!
Michael Bublé
Ariana Grande
Bobby Helms
Dean Martin
Laufey
Andy Williams
Kelly Clarkson
John Lennon
Paul McCartney
José Feliciano
Nat King Cole
Band Aid
Frank Sinatra
Darlene Love
Sia
Justin Bieber
Cher
Britney Spears
Burl Ives
Eartha Kitt
Shakin' Stevens
Perry Como
The Jackson 5
Elvis Presley
Ed Sheeran
Chuck Berry
Sam Smith
Bruce Springsteen
Eagles
Taylor Swift
Donny Hathaway
Jonas Brothers
Bing Crosby
Idina Menzel
Daryl Hall & John Oates
Coldplay
John Williams
The Beach Boys
Ava Max
Elton John
Gwen Stefani
Ella Fitzgerald
Leona Lewis
Chris Rea
Katy Perry
Pentatonix
Gene Autry
Train
*NSYNC
Wizzard
Alessia Cara
Céline Dion
Jessie J
Cliff Richard
Meghan Trainor
The Pogues
Dan + Shay
Trans-Siberian Orchestra
Pretenders
Christina Aguilera
Mud
Sabrina Carpenter
Run–D.M.C.
Destiny's Child
Queen
John Legend
George Ezra
Vince Guaraldi Trio
Teddy Swims
Stevie Wonder
V
NewJeans
D.O.
Lim Young Woong
DPR IAN
MeloMance
BIBI
Younha
Jay Park
IU
Paul Kim
JIHYO
SEUNGKWAN
PARK WON
"Car, the garden"
Whee In
LIA (ITZY)
Parc Jae Jung
Choi Yuree
JEONG SEWOON
Aalia
GEMINI
Moon Sujin
Lyn
KyoungSeo
Kassy
entoy
BIG Naughty
Roy Kim
Sohyang
Woody
VVON
GyeongseoYeji
Baek Ji Young
Junggigo
Tophyun
DK
ONEW
Noel
Onestar
Sung Si Kyung
Seori
Jinyoung
An Nyeong
Kim Na Young
HWANG MIN HYUN
Grizzly
CHEN
YESUNG
BEN
BUMKEY
Kim Feel
