,Id,Artist,Song
10,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"{'name': ""I'm Your Man"", 'track_number': 10, 'id': '6YO2dalWyZSobXSY3UUPv9', 'url': 'https://open.spotify.com/track/6YO2dalWyZSobXSY3UUPv9', 'audio_feature': [{'danceability': 0.538, 'energy': 0.272, 'key': 0, 'loudness': -15.795, 'mode': 1, 'speechiness': 0.0361, 'acousticness': 0.902, 'instrumentalness': 0.346, 'liveness': 0.086, 'valence': 0.111, 'tempo': 129.975, 'type': 'audio_features', 'id': '6YO2dalWyZSobXSY3UUPv9', 'uri': 'spotify:track:6YO2dalWyZSobXSY3UUPv9', 'track_href': 'https://api.spotify.com/v1/tracks/6YO2dalWyZSobXSY3UUPv9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6YO2dalWyZSobXSY3UUPv9', 'duration_ms': 209533, 'time_signature': 4}]}"
11,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,"{'name': 'I Love Me After You', 'track_number': 11, 'id': '55Y5p2XyPaYBPGtzj1f9fE', 'url': 'https://open.spotify.com/track/55Y5p2XyPaYBPGtzj1f9fE', 'audio_feature': [{'danceability': 0.319, 'energy': 0.294, 'key': 7, 'loudness': -15.812, 'mode': 1, 'speechiness': 0.0411, 'acousticness': 0.725, 'instrumentalness': 0.644, 'liveness': 0.12, 'valence': 0.12, 'tempo': 124.548, 'type': 'audio_features', 'id': '55Y5p2XyPaYBPGtzj1f9fE', 'uri': 'spotify:track:55Y5p2XyPaYBPGtzj1f9fE', 'track_href': 'https://api.spotify.com/v1/tracks/55Y5p2XyPaYBPGtzj1f9fE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/55Y5p2XyPaYBPGtzj1f9fE', 'duration_ms': 168760, 'time_signature': 4}]}"
12,06HL4z0CvFAxyc27GXpf02,Taylor Swift,"{'name': ""Fear and Friday's (Poem)"", 'track_number': 1, 'id': '44IXD2J5yyr7PpOZzz2cmQ', 'url': 'https://open.spotify.com/track/44IXD2J5yyr7PpOZzz2cmQ', 'audio_feature': [{'danceability': 0.6, 'energy': 0.41, 'key': 1, 'loudness': -10.788, 'mode': 0, 'speechiness': 0.395, 'acousticness': 0.841, 'instrumentalness': 0, 'liveness': 0.433, 'valence': 0.312, 'tempo': 104.337, 'type': 'audio_features', 'id': '44IXD2J5yyr7PpOZzz2cmQ', 'uri': 'spotify:track:44IXD2J5yyr7PpOZzz2cmQ', 'track_href': 'https://api.spotify.com/v1/tracks/44IXD2J5yyr7PpOZzz2cmQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44IXD2J5yyr7PpOZzz2cmQ', 'duration_ms': 107267, 'time_signature': 4}]}"
13,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"{'name': 'Overtime', 'track_number': 2, 'id': '5pIVEk6Di7n1v5khOzJaJL', 'url': 'https://open.spotify.com/track/5pIVEk6Di7n1v5khOzJaJL', 'audio_feature': [{'danceability': 0.377, 'energy': 0.72, 'key': 4, 'loudness': -7.086, 'mode': 1, 'speechiness': 0.0364, 'acousticness': 0.0217, 'instrumentalness': 0.00919, 'liveness': 0.138, 'valence': 0.26, 'tempo': 142.212, 'type': 'audio_features', 'id': '5pIVEk6Di7n1v5khOzJaJL', 'uri': 'spotify:track:5pIVEk6Di7n1v5khOzJaJL', 'track_href': 'https://api.spotify.com/v1/tracks/5pIVEk6Di7n1v5khOzJaJL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5pIVEk6Di7n1v5khOzJaJL', 'duration_ms': 190947, 'time_signature': 4}]}"
14,7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,"{'name': ""Summertime's Close"", 'track_number': 3, 'id': '7eOuUmpnHBlg5zsm8Cs7c3', 'url': 'https://open.spotify.com/track/7eOuUmpnHBlg5zsm8Cs7c3', 'audio_feature': [{'danceability': 0.469, 'energy': 0.208, 'key': 0, 'loudness': -9.022, 'mode': 1, 'speechiness': 0.0448, 'acousticness': 0.607, 'instrumentalness': 1.72e-06, 'liveness': 0.127, 'valence': 0.215, 'tempo': 81.098, 'type': 'audio_features', 'id': '7eOuUmpnHBlg5zsm8Cs7c3', 'uri': 'spotify:track:7eOuUmpnHBlg5zsm8Cs7c3', 'track_href': 'https://api.spotify.com/v1/tracks/7eOuUmpnHBlg5zsm8Cs7c3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7eOuUmpnHBlg5zsm8Cs7c3', 'duration_ms': 186187, 'time_signature': 4}]}"
15,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,"{'name': 'East Side of Sorrow', 'track_number': 4, 'id': '00syWkRGIVQvYsg2OwfBUw', 'url': 'https://open.spotify.com/track/00syWkRGIVQvYsg2OwfBUw', 'audio_feature': [{'danceability': 0.408, 'energy': 0.607, 'key': 10, 'loudness': -7.463, 'mode': 1, 'speechiness': 0.0391, 'acousticness': 0.236, 'instrumentalness': 8.02e-05, 'liveness': 0.0972, 'valence': 0.169, 'tempo': 144.136, 'type': 'audio_features', 'id': '00syWkRGIVQvYsg2OwfBUw', 'uri': 'spotify:track:00syWkRGIVQvYsg2OwfBUw', 'track_href': 'https://api.spotify.com/v1/tracks/00syWkRGIVQvYsg2OwfBUw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/00syWkRGIVQvYsg2OwfBUw', 'duration_ms': 209320, 'time_signature': 4}]}"
16,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,"{'name': 'Hey Driver (feat. The War and Treaty)', 'track_number': 5, 'id': '4pCbJC43j3gSqG6Fen6upD', 'url': 'https://open.spotify.com/track/4pCbJC43j3gSqG6Fen6upD', 'audio_feature': [{'danceability': 0.583, 'energy': 0.351, 'key': 0, 'loudness': -5.836, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.494, 'instrumentalness': 0, 'liveness': 0.368, 'valence': 0.462, 'tempo': 79.014, 'type': 'audio_features', 'id': '4pCbJC43j3gSqG6Fen6upD', 'uri': 'spotify:track:4pCbJC43j3gSqG6Fen6upD', 'track_href': 'https://api.spotify.com/v1/tracks/4pCbJC43j3gSqG6Fen6upD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4pCbJC43j3gSqG6Fen6upD', 'duration_ms': 227467, 'time_signature': 4}]}"
17,3SozjO3Lat463tQICI9LcE,Tyla,"{'name': ""Fear and Friday's"", 'track_number': 6, 'id': '0GMiRrUnQuoGddKMsxGPIZ', 'url': 'https://open.spotify.com/track/0GMiRrUnQuoGddKMsxGPIZ', 'audio_feature': [{'danceability': 0.523, 'energy': 0.636, 'key': 7, 'loudness': -5.813, 'mode': 1, 'speechiness': 0.0582, 'acousticness': 0.0541, 'instrumentalness': 2.63e-06, 'liveness': 0.0716, 'valence': 0.155, 'tempo': 128.785, 'type': 'audio_features', 'id': '0GMiRrUnQuoGddKMsxGPIZ', 'uri': 'spotify:track:0GMiRrUnQuoGddKMsxGPIZ', 'track_href': 'https://api.spotify.com/v1/tracks/0GMiRrUnQuoGddKMsxGPIZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0GMiRrUnQuoGddKMsxGPIZ', 'duration_ms': 171427, 'time_signature': 4}]}"
18,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,"{'name': 'Ticking', 'track_number': 7, 'id': '1HwDRgozGBMyfJTQUfz09A', 'url': 'https://open.spotify.com/track/1HwDRgozGBMyfJTQUfz09A', 'audio_feature': [{'danceability': 0.494, 'energy': 0.328, 'key': 6, 'loudness': -8.553, 'mode': 1, 'speechiness': 0.034, 'acousticness': 0.718, 'instrumentalness': 2.91e-06, 'liveness': 0.0744, 'valence': 0.206, 'tempo': 121.834, 'type': 'audio_features', 'id': '1HwDRgozGBMyfJTQUfz09A', 'uri': 'spotify:track:1HwDRgozGBMyfJTQUfz09A', 'track_href': 'https://api.spotify.com/v1/tracks/1HwDRgozGBMyfJTQUfz09A', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1HwDRgozGBMyfJTQUfz09A', 'duration_ms': 242200, 'time_signature': 5}]}"
19,06HL4z0CvFAxyc27GXpf02,Taylor Swift,"{'name': 'Holy Roller (feat. Sierra Ferrell)', 'track_number': 8, 'id': '3itgPtXSu4I9mr2QD6yrzP', 'url': 'https://open.spotify.com/track/3itgPtXSu4I9mr2QD6yrzP', 'audio_feature': [{'danceability': 0.415, 'energy': 0.404, 'key': 4, 'loudness': -9.331, 'mode': 1, 'speechiness': 0.0393, 'acousticness': 0.678, 'instrumentalness': 1.95e-05, 'liveness': 0.28, 'valence': 0.425, 'tempo': 81.202, 'type': 'audio_features', 'id': '3itgPtXSu4I9mr2QD6yrzP', 'uri': 'spotify:track:3itgPtXSu4I9mr2QD6yrzP', 'track_href': 'https://api.spotify.com/v1/tracks/3itgPtXSu4I9mr2QD6yrzP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3itgPtXSu4I9mr2QD6yrzP', 'duration_ms': 216027, 'time_signature': 4}]}"
